page,pack,url
swsh07-evolving-skies,SWSH07: Evolving Skies,https://shop.tcgplayer.com/price-guide/pokemon/swsh07-evolving-skies
swsh06-chilling-reign,SWSH06: Chilling Reign,https://shop.tcgplayer.com/price-guide/pokemon/swsh06-chilling-reign
swsh05-battle-styles,SWSH05: Battle Styles,https://shop.tcgplayer.com/price-guide/pokemon/swsh05-battle-styles
first-partner-pack,First Partner Pack,https://shop.tcgplayer.com/price-guide/pokemon/first-partner-pack
shining-fates,Shining Fates,https://shop.tcgplayer.com/price-guide/pokemon/shining-fates
shining-fates-shiny-vault,Shining Fates: Shiny Vault,https://shop.tcgplayer.com/price-guide/pokemon/shining-fates-shiny-vault
mcdonalds-25th-anniversary-promos,McDonald's 25th Anniversary Promos,https://shop.tcgplayer.com/price-guide/pokemon/mcdonalds-25th-anniversary-promos
swsh04-vivid-voltage,SWSH04: Vivid Voltage,https://shop.tcgplayer.com/price-guide/pokemon/swsh04-vivid-voltage
champions-path,Champion's Path,https://shop.tcgplayer.com/price-guide/pokemon/champions-path
swsh03-darkness-ablaze,SWSH03: Darkness Ablaze,https://shop.tcgplayer.com/price-guide/pokemon/swsh03-darkness-ablaze
battle-academy,Battle Academy,https://shop.tcgplayer.com/price-guide/pokemon/battle-academy
swsh02-rebel-clash,SWSH02: Rebel Clash,https://shop.tcgplayer.com/price-guide/pokemon/swsh02-rebel-clash
swsh01-sword-and-shield-base-set,SWSH01: Sword & Shield Base Set,https://shop.tcgplayer.com/price-guide/pokemon/swsh01-sword-and-shield-base-set
swsh-sword-and-shield-promo-cards,SWSH: Sword & Shield Promo Cards,https://shop.tcgplayer.com/price-guide/pokemon/swsh-sword-and-shield-promo-cards
sm-cosmic-eclipse,SM - Cosmic Eclipse,https://shop.tcgplayer.com/price-guide/pokemon/sm-cosmic-eclipse
mcdonalds-promos-2019,McDonald's Promos 2019,https://shop.tcgplayer.com/price-guide/pokemon/mcdonalds-promos-2019
hidden-fates,Hidden Fates,https://shop.tcgplayer.com/price-guide/pokemon/hidden-fates
hidden-fates-shiny-vault,Hidden Fates: Shiny Vault,https://shop.tcgplayer.com/price-guide/pokemon/hidden-fates-shiny-vault
sm-unified-minds,SM - Unified Minds,https://shop.tcgplayer.com/price-guide/pokemon/sm-unified-minds
sm-unbroken-bonds,SM - Unbroken Bonds,https://shop.tcgplayer.com/price-guide/pokemon/sm-unbroken-bonds
detective-pikachu,Detective Pikachu,https://shop.tcgplayer.com/price-guide/pokemon/detective-pikachu
sm-team-up,SM - Team Up,https://shop.tcgplayer.com/price-guide/pokemon/sm-team-up
mcdonalds-promos-2018,McDonald's Promos 2018,https://shop.tcgplayer.com/price-guide/pokemon/mcdonalds-promos-2018
