"PRODUCT","name_mapping","name"
"Aegislash (107)","aegislash","Aegislash"
"Aegislash (108)","aegislash","Aegislash"
"Baltoy","baltoy","Baltoy"
"Bellsprout","bellsprout","Bellsprout"
"Bisharp","bisharp","Bisharp"
"Blipbug","blipbug","Blipbug"
"Boltund","boltund","Boltund"
"Bouffalant","bouffalant","Bouffalant"
"Bronzong","bronzong","Bronzong"
"Bronzor","bronzor","Bronzor"
"Bruno","bruno",NA
"Bruno (Full Art)","bruno",NA
"Bruno (Secret)","bruno",NA
"Bruxish","bruxish","Bruxish"
"Cacnea","cacnea","Cacnea"
"Cacturne","cacturne","Cacturne"
"Camping Gear","camping gear",NA
"Carkol","carkol","Carkol"
"Carnivine","carnivine","Carnivine"
"Centiskorch","centiskorch","Centiskorch"
"Cherrim","cherrim","Cherrim"
"Cherubi","cherubi","Cherubi"
"Cheryl","cheryl",NA
"Cheryl (Full Art)","cheryl",NA
"Cheryl (Secret)","cheryl",NA
"Chimecho","chimecho","Chimecho"
"Claydol","claydol","Claydol"
"Coalossal","coalossal","Coalossal"
"Conkeldurr","conkeldurr","Conkeldurr"
"Corphish","corphish","Corphish"
"Corviknight V","corviknight","Corviknight"
"Corviknight V (Full Art)","corviknight","Corviknight"
"Corviknight VMAX","corviknight","Corviknight"
"Corviknight VMAX (Secret)","corviknight","Corviknight"
"Crawdaunt","crawdaunt","Crawdaunt"
"Crobat","crobat","Crobat"
"Cubone","cubone","Cubone"
"Dottler","dottler","Dottler"
"Doublade","doublade","Doublade"
"Drampa","drampa","Drampa"
"Durant","durant","Durant"
"Electabuzz","electabuzz","Electabuzz"
"Electivire","electivire","Electivire"
"Emboar","emboar","Emboar"
"Empoleon V","empoleon","Empoleon"
"Empoleon V (Alternate Full Art)","empoleon","Empoleon"
"Empoleon V (Full Art)","empoleon","Empoleon"
"Energy Recycler","energy recycler",NA
"Entei","entei","Entei"
"Escape Rope","escape rope",NA
"Espurr","espurr","Espurr"
"Exp. Share","exp. share",NA
"Exp. Share (Secret)","exp. share",NA
"Falinks","falinks","Falinks"
"Fan of Waves","fan of waves",NA
"Fearow","fearow","Fearow"
"Flapple V","flapple","Flapple"
"Flapple V (Full Art)","flapple","Flapple"
"Flapple VMAX","flapple","Flapple"
"Flapple VMAX (Secret)","flapple","Flapple"
"Fomantis","fomantis","Fomantis"
"Frillish","frillish","Frillish"
"Galarian Mr. Mime","mr. mime","Mr. Mime"
"Galarian Mr. Rime","mr. rime","Mr. Rime"
"Galarian Slowbro","slowbro","Slowbro"
"Galarian Slowpoke","slowpoke","Slowpoke"
"Glameow","glameow","Glameow"
"Gligar","gligar","Gligar"
"Gliscor","gliscor","Gliscor"
"Golbat","golbat","Golbat"
"Grumpig","grumpig","Grumpig"
"Gurdurr","gurdurr","Gurdurr"
"Heatmor","heatmor","Heatmor"
"Honchkrow","honchkrow","Honchkrow"
"Honedge","honedge","Honedge"
"Horsea","horsea","Horsea"
"Houndoom","houndoom","Houndoom"
"Houndoom (Secret)","houndoom","Houndoom"
"Houndour","houndour","Houndour"
"Indeedee","indeedee","Indeedee"
"Jellicent","jellicent","Jellicent"
"Kingdra","kingdra","Kingdra"
"Korrina's Focus","korrina's focus",NA
"Korrina's Focus (Full Art)","korrina's focus",NA
"Korrina's Focus (Secret)","korrina's focus",NA
"Kricketune V","kricketune","Kricketune"
"Kricketune V (Full Art)","kricketune","Kricketune"
"Level Ball","level ball",NA
"Level Ball (Secret)","level ball",NA
"Lickilicky","lickilicky","Lickilicky"
"Lickitung","lickitung","Lickitung"
"Lurantis","lurantis","Lurantis"
"Luxio","luxio","Luxio"
"Luxray","luxray","Luxray"
"Mankey","mankey","Mankey"
"Marowak","marowak","Marowak"
"Mawile","mawile","Mawile"
"Meowstic","meowstic","Meowstic"
"Mienfoo","mienfoo","Mienfoo"
"Mienshao","mienshao","Mienshao"
"Mimikyu V","mimikyu","Mimikyu"
"Mimikyu V (Full Art)","mimikyu","Mimikyu"
"Morpeko","morpeko","Morpeko"
"Murkrow","murkrow","Murkrow"
"Necrozma V","necrozma","Necrozma"
"Necrozma V (Full Art)","necrozma","Necrozma"
"Octillery","octillery","Octillery"
"Octillery (Secret)","octillery","Octillery"
"Onix","onix","Onix"
"Orbeetle","orbeetle","Orbeetle"
"Pachirisu","pachirisu","Pachirisu"
"Pawniard","pawniard","Pawniard"
"Phoebe","phoebe",NA
"Phoebe (Full Art)","phoebe",NA
"Phoebe (Secret)","phoebe",NA
"Pignite","pignite","Pignite"
"Primeape","primeape","Primeape"
"Purugly","purugly","Purugly"
"Rapid Strike Energy","energy",NA
"Rapid Strike Energy (Secret)","energy",NA
"Rapid Strike Scroll of Swirls","scroll of swirls",NA
"Rapid Strike Style Mustard","style mustard",NA
"Rapid Strike Style Mustard (Full Art)","style mustard",NA
"Rapid Strike Style Mustard (Secret)","style mustard",NA
"Rapid Strike Urshifu V","urshifu rapid strike style","Urshifu Rapid Strike Style"
"Rapid Strike Urshifu V (Alternate Full Art)","urshifu rapid strike style","Urshifu Rapid Strike Style"
"Rapid Strike Urshifu V (Full Art)","urshifu rapid strike style","Urshifu Rapid Strike Style"
"Rapid Strike Urshifu VMAX","urshifu rapid strike style","Urshifu Rapid Strike Style"
"Rapid Strike Urshifu VMAX (Alternate Art Secret)","urshifu rapid strike style","Urshifu Rapid Strike Style"
"Rapid Strike Urshifu VMAX (Secret)","urshifu rapid strike style","Urshifu Rapid Strike Style"
"Remoraid","remoraid","Remoraid"
"Rolycoly","rolycoly","Rolycoly"
"Salandit","salandit","Salandit"
"Salazzle","salazzle","Salazzle"
"Sandaconda","sandaconda","Sandaconda"
"Scatterbug","scatterbug","Scatterbug"
"Seadra","seadra","Seadra"
"Shinx","shinx","Shinx"
"Silicobra","silicobra","Silicobra"
"Single Strike Energy","energy",NA
"Single Strike Energy (Secret)","energy",NA
"Single Strike Scroll of Scorn","scroll of scorn",NA
"Single Strike Style Mustard","style mustard",NA
"Single Strike Style Mustard (Full Art)","style mustard",NA
"Single Strike Style Mustard (Secret)","style mustard",NA
"Single Strike Urshifu V","urshifu single strike style","Urshifu Single Strike Style"
"Single Strike Urshifu V (Alternate Full Art)","urshifu single strike style","Urshifu Single Strike Style"
"Single Strike Urshifu V (Full Art)","urshifu single strike style","Urshifu Single Strike Style"
"Single Strike Urshifu VMAX","urshifu single strike style","Urshifu Single Strike Style"
"Single Strike Urshifu VMAX (Alternate Art Secret)","urshifu single strike style","Urshifu Single Strike Style"
"Single Strike Urshifu VMAX (Secret)","urshifu single strike style","Urshifu Single Strike Style"
"Sizzlipede","sizzlipede","Sizzlipede"
"Sordward & Shielbert","sordward",NA
"Spearow","spearow","Spearow"
"Spewpa","spewpa","Spewpa"
"Spoink","spoink","Spoink"
"Steelix","steelix","Steelix"
"Stonjourner","stonjourner","Stonjourner"
"Stoutland V","stoutland","Stoutland"
"Stoutland V (Full Art)","stoutland","Stoutland"
"Tapu Bulu","tapu bulu","Tapu Bulu"
"Tapu Koko V","tapu koko","Tapu Koko"
"Tapu Koko V (Full Art)","tapu koko","Tapu Koko"
"Tapu Koko VMAX","tapu koko","Tapu Koko"
"Tapu Koko VMAX (Secret)","tapu koko","Tapu Koko"
"Tepig","tepig","Tepig"
"Timburr","timburr","Timburr"
"Tool Jammer","tool jammer",NA
"Tower of Darkness","tower of darkness",NA
"Tower of Waters","tower of waters",NA
"Tyranitar V","tyranitar","Tyranitar"
"Tyranitar V (Alternate Full Art)","tyranitar","Tyranitar"
